Date,Quits (1000s),Layoffs (1000s),Other Separations (1000s)
2000-12-01,2882,2018,340
2001-01-01,3245,2220,377
2001-02-01,3053,1855,323
2001-03-01,3054,2133,379
2001-04-01,3163,1883,367
2001-05-01,2993,2029,368
2001-06-01,2878,2015,356
2001-07-01,2947,2038,394
2001-08-01,2928,2011,416
2001-09-01,2703,2107,374
2001-10-01,2795,2319,350
2001-11-01,2560,2255,335
2001-12-01,2559,1922,368
2002-01-01,2845,1907,365
2002-02-01,2572,1978,379
2002-03-01,2493,1883,380
2002-04-01,2624,1956,398
2002-05-01,2537,1967,330
2002-06-01,2522,2015,349
2002-07-01,2561,2102,390
2002-08-01,2561,1923,362
2002-09-01,2521,2022,376
2002-10-01,2423,1935,375
2002-11-01,2403,1944,402
2002-12-01,2501,2007,421
2003-01-01,2429,2109,415
2003-02-01,2490,2015,366
2003-03-01,2394,1949,406
2003-04-01,2279,1998,376
2003-05-01,2291,2072,353
2003-06-01,2315,2076,327
2003-07-01,2271,2062,328
2003-08-01,2195,2162,322
2003-09-01,2354,1932,359
2003-10-01,2415,1969,365
2003-11-01,2411,1951,338
2003-12-01,2444,2007,334
2004-01-01,2354,2037,331
2004-02-01,2448,1985,321
2004-03-01,2582,2065,349
2004-04-01,2534,2010,310
2004-05-01,2428,1914,346
2004-06-01,2659,1887,350
2004-07-01,2609,1885,333
2004-08-01,2586,1974,345
2004-09-01,2531,2027,329
2004-10-01,2550,1903,332
2004-11-01,2789,2037,308
2004-12-01,2695,1951,317
2005-01-01,2732,2008,305
2005-02-01,2651,2068,357
2005-03-01,2747,2188,303
2005-04-01,2741,1957,299
2005-05-01,2763,2021,326
2005-06-01,2754,2015,326
2005-07-01,2735,1898,313
2005-08-01,2957,1905,348
2005-09-01,3046,2032,326
2005-10-01,2863,1873,311
2005-11-01,2895,1769,342
2005-12-01,2849,1923,397
2006-01-01,2945,1784,331
2006-02-01,2965,1882,384
2006-03-01,2956,1888,397
2006-04-01,2778,1853,423
2006-05-01,3002,1991,435
2006-06-01,3042,1817,412
2006-07-01,3047,1860,430
2006-08-01,3056,1775,368
2006-09-01,2888,1831,381
2006-10-01,2983,1898,410
2006-11-01,3043,1926,380
2006-12-01,2999,1772,367
2007-01-01,2956,1922,386
2007-02-01,2933,1850,369
2007-03-01,2997,1882,357
2007-04-01,2911,2000,367
2007-05-01,3010,1967,325
2007-06-01,2910,1845,353
2007-07-01,2951,1896,378
2007-08-01,3014,2033,335
2007-09-01,2691,2188,317
2007-10-01,2926,1998,328
2007-11-01,2784,1966,367
2007-12-01,2773,1915,356
2008-01-01,2847,1989,313
2008-02-01,2881,1995,343
2008-03-01,2661,1918,361
2008-04-01,2837,1958,372
2008-05-01,2607,1950,294
2008-06-01,2595,2172,294
2008-07-01,2489,2071,285
2008-08-01,2445,2190,370
2008-09-01,2468,2088,346
2008-10-01,2347,2250,368
2008-11-01,2157,2290,372
2008-12-01,2084,2482,309
2009-01-01,1976,2581,308
2009-02-01,1952,2599,301
2009-03-01,1834,2575,311
2009-04-01,1712,2654,324
2009-05-01,1683,2231,278
2009-06-01,1685,2261,288
2009-07-01,1685,2267,283
2009-08-01,1555,2119,311
2009-09-01,1627,2195,304
2009-10-01,1660,2028,308
2009-11-01,1810,1913,279
2009-12-01,1766,2033,300
2010-01-01,1742,1880,317
2010-02-01,1844,1825,343
2010-03-01,1856,1924,310
2010-04-01,1897,1749,299
2010-05-01,1813,1762,349
2010-06-01,1911,2075,325
2010-07-01,1785,2166,317
2010-08-01,1842,1890,321
2010-09-01,1895,1832,318
2010-10-01,1846,1745,293
2010-11-01,1887,1849,331
2010-12-01,1977,1854,312
2011-01-01,1832,1827,342
2011-02-01,1958,1755,325
2011-03-01,2033,1794,315
2011-04-01,1882,1792,317
2011-05-01,1965,1904,320
2011-06-01,1923,1942,308
2011-07-01,1986,1845,322
2011-08-01,2031,1845,297
2011-09-01,2041,1872,296
2011-10-01,1997,1794,359
2011-11-01,2039,1912,316
2011-12-01,1981,1801,303
2012-01-01,2030,1797,332
2012-02-01,2130,1903,315
2012-03-01,2167,1784,326
2012-04-01,2134,1880,319
2012-05-01,2138,1969,331
