Date,Separarions (All Types) (1000s),Hires (1000s)
2000-12-01,5240,5426
2001-01-01,5842,5722
2001-02-01,5231,5303
2001-03-01,5566,5528
2001-04-01,5414,5204
2001-05-01,5390,5410
2001-06-01,5249,5109
2001-07-01,5380,5244
2001-08-01,5355,5223
2001-09-01,5184,4954
2001-10-01,5464,5078
2001-11-01,5150,4914
2001-12-01,4848,4829
2002-01-01,5117,4855
2002-02-01,4929,4801
2002-03-01,4756,4706
2002-04-01,4979,4928
2002-05-01,4834,4857
2002-06-01,4887,4869
2002-07-01,5054,4946
2002-08-01,4846,4871
2002-09-01,4919,4879
2002-10-01,4733,4798
2002-11-01,4750,4792
2002-12-01,4928,4893
2003-01-01,4953,5058
2003-02-01,4871,4714
2003-03-01,4749,4470
2003-04-01,4653,4600
2003-05-01,4716,4678
2003-06-01,4718,4682
2003-07-01,4661,4639
2003-08-01,4679,4666
2003-09-01,4645,4799
2003-10-01,4749,4902
2003-11-01,4700,4767
2003-12-01,4785,4984
2004-01-01,4722,4900
2004-02-01,4754,4788
2004-03-01,4996,5227
2004-04-01,4854,5152
2004-05-01,4688,4976
2004-06-01,4896,5009
2004-07-01,4828,4891
2004-08-01,4904,5013
2004-09-01,4886,5062
2004-10-01,4786,5149
2004-11-01,5134,5181
2004-12-01,4964,5153
2005-01-01,5045,5201
2005-02-01,5075,5276
2005-03-01,5238,5273
2005-04-01,4998,5362
2005-05-01,5110,5271
2005-06-01,5095,5376
2005-07-01,4946,5328
2005-08-01,5210,5409
2005-09-01,5404,5493
2005-10-01,5047,5124
2005-11-01,5005,5344
2005-12-01,5170,5294
2006-01-01,5060,5271
2006-02-01,5232,5474
2006-03-01,5242,5524
2006-04-01,5055,5215
2006-05-01,5428,5498
2006-06-01,5271,5455
2006-07-01,5336,5573
2006-08-01,5199,5373
2006-09-01,5100,5288
2006-10-01,5290,5375
2006-11-01,5349,5495
2006-12-01,5138,5214
2007-01-01,5263,5426
2007-02-01,5152,5160
2007-03-01,5236,5479
2007-04-01,5278,5353
2007-05-01,5303,5469
2007-06-01,5108,5267
2007-07-01,5225,5217
2007-08-01,5382,5358
2007-09-01,5197,5344
2007-10-01,5252,5398
2007-11-01,5118,5176
2007-12-01,5045,5119
2008-01-01,5149,5071
2008-02-01,5219,5077
2008-03-01,4940,4924
2008-04-01,5167,4948
2008-05-01,4852,4691
2008-06-01,5061,4893
2008-07-01,4845,4637
2008-08-01,5006,4682
2008-09-01,4902,4499
2008-10-01,4965,4548
2008-11-01,4819,4104
2008-12-01,4875,4348
2009-01-01,4865,4095
2009-02-01,4852,4061
2009-03-01,4720,3858
2009-04-01,4690,3888
2009-05-01,4192,3758
2009-06-01,4234,3639
2009-07-01,4235,3857
2009-08-01,3985,3810
2009-09-01,4126,3944
2009-10-01,3996,3838
2009-11-01,4002,4024
2009-12-01,4099,4004
2010-01-01,3940,3904
2010-02-01,4011,3864
2010-03-01,4089,4302
2010-04-01,3945,4159
2010-05-01,3924,4420
2010-06-01,4311,4111
2010-07-01,4269,4163
2010-08-01,4054,4046
2010-09-01,4045,4034
2010-10-01,3884,4173
2010-11-01,4067,4182
2010-12-01,4142,4299
2011-01-01,4001,4000
2011-02-01,4037,4231
2011-03-01,4142,4430
2011-04-01,3991,4296
2011-05-01,4189,4261
2011-06-01,4173,4366
2011-07-01,4153,4261
2011-08-01,4173,4298
2011-09-01,4208,4429
2011-10-01,4150,4370
2011-11-01,4267,4365
2011-12-01,4084,4356
2012-01-01,4158,4457
2012-02-01,4349,4560
2012-03-01,4277,4575
2012-04-01,4333,4389
2012-05-01,4437,4533
