Current/Former,Length,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt
Current Employee, less than 1 year,3.9343588089430073,3.664734513274336,3.922114850605354,4.1865099009900995,3.816365282285664,3.6570935098868493,3.662521527140972
Current Employee, more than 1 year,3.7635016737362386,3.4870073484622663,3.7534688777236873,4.10953516090584,3.615106702579509,3.4734056354107206,3.3584669207874263
Current Employee, more than 10 years,3.7685484837588397,3.5411953401992236,3.724308760638523,4.205332516089488,3.563785834738617,3.566068790884153,3.217625594025798
Current Employee, more than 3 years,3.762904123602774,3.4720918686035525,3.745621779539946,4.085343228200371,3.604055069636547,3.448208479490013,3.2754679929821173
Current Employee, more than 5 years,3.7883700659942723,3.516798184265393,3.759634968919455,4.110409670920081,3.591626485389824,3.4810683963507882,3.255252073012425
Current Employee, more than 8 years,3.8050362044742245,3.5451729478575116,3.7753869167481735,4.110813226094727,3.588447653429603,3.5303360477118937,3.2665781727939054
Former Employee, less than 1 year,3.2652720064956777,3.1014342868029283,3.1739404227357353,3.657952548330404,3.0690869683012734,3.0945411931431064,2.9167813687166215
Former Employee, more than 1 year,3.363070318327827,3.1681237614694178,3.2970578401872284,3.731604172540175,3.2050417095948687,3.2274187908959227,2.9187982544478013
Former Employee, more than 10 years,3.3845305301408084,3.1421709894332372,3.23829845814978,3.7821830641213903,3.2523544373410327,3.5258467023172906,2.7006211180124224
Former Employee, more than 3 years,3.449695052047508,3.1950051823700707,3.3796763657957243,3.7760123579388725,3.3012472885032538,3.2971872686898593,2.9222542061640775
Former Employee, more than 5 years,3.4641352044141285,3.192940083604273,3.3806953041373853,3.800842499414931,3.295615866388309,3.3717639417277536,2.8700013998413514
Former Employee, more than 8 years,3.460321916526296,3.2079434600836154,3.3679792124725165,3.748529411764706,3.2988254031455306,3.4738779978107273,2.8515445366390084
